"","Site","Logger","Winter","UniqueLoggerWinter","DateTime","TempC","MAST","DistEntrM","SiteType","ElevM","TPI","CHILI","PercTree","SnowDays","SWE","gwDepthM"
"125",106,"A113Z",2015,"A113Z.2015","2016-01-27 01:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"126",106,"A113Z",2015,"A113Z.2015","2015-12-26 21:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"127",106,"A113Z",2015,"A113Z.2015","2016-01-31 03:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"128",106,"A113Z",2015,"A113Z.2015","2015-12-13 21:29:01",8.113,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"129",106,"A113Z",2015,"A113Z.2015","2016-01-20 05:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"130",106,"A113Z",2015,"A113Z.2015","2015-12-09 17:29:01",8.113,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"131",106,"A113Z",2015,"A113Z.2015","2016-02-08 11:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"132",106,"A113Z",2015,"A113Z.2015","2016-02-25 21:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"133",106,"A113Z",2015,"A113Z.2015","2016-02-01 07:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"134",106,"A113Z",2015,"A113Z.2015","2016-01-10 09:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"135",106,"A113Z",2015,"A113Z.2015","2016-02-08 21:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"136",106,"A113Z",2015,"A113Z.2015","2016-01-22 11:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"137",106,"A113Z",2015,"A113Z.2015","2016-02-10 09:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"138",106,"A113Z",2015,"A113Z.2015","2016-02-03 11:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"139",106,"A113Z",2015,"A113Z.2015","2016-01-30 07:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"140",106,"A113Z",2015,"A113Z.2015","2016-02-02 23:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"141",106,"A113Z",2015,"A113Z.2015","2016-02-21 07:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"142",106,"A113Z",2015,"A113Z.2015","2016-02-28 19:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"143",106,"A113Z",2015,"A113Z.2015","2015-12-15 03:29:01",8.113,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"144",106,"A113Z",2015,"A113Z.2015","2016-01-14 13:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"145",106,"A113Z",2015,"A113Z.2015","2015-12-22 07:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"146",106,"A113Z",2015,"A113Z.2015","2016-01-26 17:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"147",106,"A113Z",2015,"A113Z.2015","2016-02-22 05:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"148",106,"A113Z",2015,"A113Z.2015","2016-02-11 19:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"149",106,"A113Z",2015,"A113Z.2015","2015-12-04 23:29:01",8.113,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"150",106,"A113Z",2015,"A113Z.2015","2016-02-22 07:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"151",106,"A113Z",2015,"A113Z.2015","2015-12-08 07:29:01",8.113,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"152",106,"A113Z",2015,"A113Z.2015","2016-02-09 21:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"153",106,"A113Z",2015,"A113Z.2015","2015-12-15 15:29:01",8.113,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
